127.0.0.1 - - [08/Dec/2016:00:00:06 +0530] "GET /hsmp/ HTTP/1.1" 200 3602
127.0.0.1 - - [08/Dec/2016:00:00:09 +0530] "GET /hsmp/contact.html HTTP/1.1" 200 4119
127.0.0.1 - - [08/Dec/2016:00:00:28 +0530] "POST /hsmp/sendmail HTTP/1.1" 200 -
127.0.0.1 - - [08/Dec/2016:00:01:10 +0530] "GET /hsmp/contact.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:01:10 +0530] "GET /hsmp/templatemo_style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:01:10 +0530] "GET /hsmp/scripts/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:01:10 +0530] "GET /hsmp/css/ddsmoothmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:01:10 +0530] "GET /hsmp/scripts/ddsmoothmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:01:11 +0530] "GET /hsmp/images/templatemo_bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:01:11 +0530] "GET /hsmp/images/map_thumb.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:01:11 +0530] "GET /hsmp/images/templatemo_header.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:01:11 +0530] "GET /hsmp/images/templatemo_logo.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:01:11 +0530] "GET /hsmp/images/templatemo_footer.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:02:06 +0530] "GET /hsmp/contact.html HTTP/1.1" 200 4078
127.0.0.1 - - [08/Dec/2016:00:02:07 +0530] "GET /hsmp/templatemo_style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:02:07 +0530] "GET /hsmp/css/ddsmoothmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:02:07 +0530] "GET /hsmp/scripts/ddsmoothmenu.js HTTP/1.1" 304 -
